0.012027f,-0.026826f,-0.030542f,
0.020192f,-0.030225f,-0.022116f,
0.018601f,-0.029945f,-0.024657f,
0.013275f,-0.012172f,-0.027851f,
0.009532f,-0.007613f,-0.027572f,
0.022226f,-0.010318f,-0.017787f,
0.022157f,-0.002905f,-0.017239f,
0.022251f,0.001437f,-0.017115f,
0.023201f,0.008236f,-0.017772f,
0.02365f,0.010335f,-0.018496f,
0.02365f,0.010335f,-0.018496f,
0.005338f,0.009494f,-0.000568f,
0.005338f,0.009494f,-0.000568f,
0.003797f,0.005772f,-0.000305f,
0.003797f,0.005772f,-0.000305f,
0.000075f,0.00423f,-0.000196f,
0.000075f,0.00423f,-0.000196f,
0.000075f,0.00423f,-0.000196f,
0.000075f,0.00423f,-0.000196f,
0.000076f,0.01476f,-0.000651f,
0.000076f,0.01476f,-0.000651f,
0.000076f,0.01476f,-0.000651f,
0.000076f,0.01476f,-0.000651f,
0.002708f,0.01404f,-0.000661f,
0.002708f,0.01404f,-0.000661f,
0.004634f,0.01212f,-0.00065f,
0.004634f,0.01212f,-0.00065f,
0.004633f,0.006863f,-0.000401f,
0.004633f,0.006863f,-0.000401f,
0.00516f,0.010854f,-0.000621f,
0.00516f,0.010854f,-0.000621f,
0.006431f,0.011201f,-0.000764f,
0.010239f,0.010681f,-0.001259f,
0.005159f,0.008133f,-0.000492f,
0.005159f,0.008133f,-0.000492f,
0.00643f,0.007799f,-0.000591f,
0.009589f,0.005427f,-0.000916f,
0.001437f,0.004407f,-0.000173f,
0.001437f,0.004407f,-0.000173f,
0.001778f,0.003139f,-0.000133f,
0.00148f,0.002557f,-0.000126f,
0.001849f,0.016457f,-0.00085f,
0.001849f,0.016457f,-0.00085f,
0.001779f,0.015836f,-0.00077f,
0.001438f,0.014564f,-0.000659f,
0.001438f,0.014564f,-0.000659f,
0.005233f,0.016404f,-0.001079f,
0.005233f,0.016404f,-0.001079f,
0.004728f,0.014141f,-0.000797f,
0.003798f,0.013207f,-0.000659f,
0.003798f,0.013207f,-0.000659f,
0.002707f,0.004934f,-0.000227f,
0.002707f,0.004934f,-0.000227f,
0.003365f,0.003798f,-0.000217f,
0.002744f,0.002486f,-0.000151f,
0.011321f,0.001537f,-0.001124f,
0.013241f,0.01302f,-0.002064f,
0.013521f,0.015924f,-0.00239f,
0.013521f,0.015924f,-0.00239f,
0.012485f,0.007417f,-0.001546f,
0.009086f,-0.048409f,-0.032556f,
0.008887f,-0.052365f,-0.032713f,
0.008588f,-0.056141f,-0.032903f,
0.008297f,-0.060181f,-0.033042f,
0.008141f,-0.06395f,-0.033119f,
0.015191f,-0.060043f,-0.028706f,
0.015191f,-0.060043f,-0.028706f,
0.013745f,-0.048795f,-0.029958f,
0.013339f,-0.052685f,-0.030309f,
0.012917f,-0.056236f,-0.030653f,
0.012516f,-0.060151f,-0.030933f,
0.00858f,-0.071427f,-0.032965f,
0.008383f,-0.080777f,-0.032934f,
0.00815f,-0.067921f,-0.033094f,
0.005663f,-0.067988f,-0.033913f,
0.000073f,-0.067669f,-0.034545f,
0.000073f,-0.067669f,-0.034545f,
0.012215f,-0.063711f,-0.031144f,
0.012312f,-0.066992f,-0.031018f,
0.022321f,-0.046163f,-0.012487f,
0.022374f,-0.046162f,-0.010438f,
0.022374f,-0.046162f,-0.010438f,
0.022339f,-0.046192f,-0.009927f,
0.022339f,-0.046192f,-0.009927f,
0.021509f,-0.046267f,-0.007322f,
0.020108f,-0.046651f,-0.006161f,
0.016505f,-0.047702f,-0.004855f,
0.015541f,-0.045064f,-0.004312f,
0.02254f,-0.033504f,-0.006739f,
0.022203f,-0.03722f,-0.006812f,
0.017359f,-0.048778f,-0.005217f,
