-0.261953f,-0.963738f,0.050889f,
0.119777f,0.082315f,0.989383f,
0.009816f,0.991704f,-0.128165f,
0.119134f,0.075984f,0.989966f,
0.084425f,0.077207f,0.993434f,
-0.703582f,-0.709626f,0.037458f,
0.041453f,0.032382f,0.998616f,
-0.500371f,0.864606f,-0.045673f,
0.056651f,0.026682f,0.998037f,
-0.024684f,-0.483703f,0.874884f,
0.189451f,0.01788f,0.981727f,
0.22312f,0.076929f,0.971751f,
0.224805f,0.085576f,0.970639f,
0.04884f,0.990793f,-0.126266f,
0.212544f,0.04666f,0.976037f,
0.378979f,0.020993f,-0.925167f,
0.371198f,0.018214f,-0.928375f,
0.358837f,0.01256f,-0.933316f,
0.348439f,0.006419f,-0.93731f,
0.344166f,-0.000618f,-0.938909f,
0.642679f,-0.005442f,-0.766116f,
0.763169f,-0.094581f,0.63924f,
0.613985f,0.009732f,-0.789258f,
0.606847f,0.007652f,-0.794782f,
0.596749f,0.002894f,-0.802423f,
0.58771f,-0.001549f,-0.80907f,
0.365797f,-0.006538f,-0.930672f,
0.35992f,-0.01933f,-0.932783f,
0.344893f,-0.002671f,-0.938638f,
0.223441f,-0.004557f,-0.974707f,
0.000027f,-0.003603f,-0.999994f,
0.000027f,-0.003603f,-0.999994f,
0.575684f,-0.00476f,-0.817658f,
0.570886f,-0.002355f,-0.821026f,
0.996496f,-0.062066f,-0.056074f,
0.997385f,-0.065169f,-0.031253f,
0.185202f,-0.093805f,0.978213f,
0.985586f,-0.079133f,0.149526f,
0.327913f,0.0629f,-0.942612f,
0.79703f,-0.104606f,0.594811f,
0.525631f,-0.105316f,0.844168f,
0.305869f,-0.096673f,0.947153f,
0.055787f,0.126786f,0.99036f,
0.839547f,-0.088491f,0.536032f,
0.824208f,-0.086152f,0.559696f,
0.347822f,-0.097613f,0.932465f,
0.992123f,-0.053339f,-0.113343f,
0.995876f,-0.055164f,-0.072022f,
0.996128f,-0.053591f,-0.069687f,
0.995751f,-0.055471f,-0.073505f,
0.99607f,-0.057671f,-0.067223f,
0.996182f,-0.059034f,-0.064315f,
0.994381f,-0.058595f,-0.088159f,
0.997673f,-0.066788f,-0.013679f,
0.997165f,-0.070619f,0.025976f,
0.150997f,-0.092029f,0.984241f,
0.983139f,-0.081783f,0.16355f,
0.359821f,0.052983f,-0.931516f,
0.771675f,-0.108717f,0.626656f,
0.969394f,-0.042603f,-0.241786f,
0.926999f,-0.039052f,-0.373026f,
0.872983f,-0.034776f,-0.486509f,
0.809002f,-0.024696f,-0.587287f,
0.656426f,-0.011549f,-0.754302f,
