0.04338f,-0.012527f,0.022416f,
0.042854f,-0.010979f,0.02069f,
0.042381f,-0.009198f,0.019243f,
0.041932f,-0.007254f,0.018074f,
0.041028f,-0.003113f,0.016538f,
0.040549f,-0.000968f,0.01615f,
0.043865f,-0.013524f,0.022116f,
0.043362f,-0.01189f,0.020321f,
0.042921f,-0.010014f,0.018813f,
0.042504f,-0.007968f,0.01759f,
0.041663f,-0.003618f,0.015979f,
0.041211f,-0.001368f,0.015567f,
0.044184f,-0.014588f,0.021765f,
0.043713f,-0.012866f,0.019898f,
0.043308f,-0.010893f,0.018328f,
0.04293f,-0.008745f,0.017052f,
0.042159f,-0.004189f,0.015367f,
0.041735f,-0.001838f,0.014934f,
0.044295f,-0.015636f,0.021367f,
0.043859f,-0.013833f,0.019428f,
0.043495f,-0.01177f,0.017797f,
0.043159f,-0.009527f,0.016471f,
0.042462f,-0.004787f,0.014722f,
0.042067f,-0.002347f,0.014274f,
0.044185f,-0.016704f,0.020883f,
0.043787f,-0.014827f,0.018868f,
0.043469f,-0.012683f,0.017175f,
0.043179f,-0.010353f,0.015801f,
0.042566f,-0.005444f,0.014003f,
0.042205f,-0.002927f,0.013552f,
0.028413f,0.000093f,0.020029f,
0.027594f,-0.001301f,0.020239f,
0.02706f,-0.002032f,0.020366f,
0.026402f,-0.002794f,0.020498f,
0.025563f,-0.003585f,0.020617f,
0.024519f,-0.004324f,0.020687f,
0.023974f,-0.004603f,0.020692f,
0.02344f,-0.004801f,0.020679f,
0.02252f,-0.004969f,0.02063f,
0.027081f,-0.012459f,0.025857f,
0.028428f,-0.01119f,0.025846f,
0.02986f,-0.010158f,0.025806f,
0.031361f,-0.009379f,0.025745f,
0.03291f,-0.00886f,0.025667f,
0.034484f,-0.008605f,0.025576f,
0.036055f,-0.008608f,0.025472f,
0.037595f,-0.008863f,0.025355f,
0.039073f,-0.009353f,0.025222f,
0.040456f,-0.010062f,0.02507f,
0.041709f,-0.010965f,0.024896f,
0.0428f,-0.012035f,0.024696f,
0.043693f,-0.013242f,0.024464f,
0.044355f,-0.014554f,0.024192f,
0.04475f,-0.015943f,0.023861f,
0.04482f,-0.017406f,0.023424f,
0.044704f,-0.018165f,0.023143f,
0.044418f,-0.018979f,0.02276f,
